COVID-19 Vaccinations in the United States
Date generated: Mon Mar 21 2022 08:21:22 GMT+0800 (中国标准时间)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1799005,254907,311472,1439748,204003,1343426,232595,678393,95,619242,95,509491,72.2,469117,81.2,1089625,639280,70100,0,36448,517916,884419,965,174515,295385,39150,441,174428,255174,39106,409,N/A,95,N/A,95,68.4,442598,76.6,678393,99135,95,79964,91.6,42386,34596,2867,115,251633,288098,2059700,651916,95,493068,80.9,174505,279001,39129,433,1403200,230126,295038,678195,95,509452,77.1,174509,295355,39147,441,1439535,217986,272419,182378,35.8,182327,37,176640,37.7,45098,56.4,76608,104336,1386,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6640010,N/A,N/A,7312334,N/A,6820176,N/A,4135249,N/A,3852760,N/A,3125935,N/A,2921298,N/A,4267070,2162940,210000,0,322719,2417450,4549327,22838,967057,1869562,289124,192,966809,1665414,288889,186,N/A,N/A,N/A,N/A,0,2633312,0,4135249,358570,0,192016,0,67017,115362,9636,1,577384,0,0,4064095,0,3085648,0,967031,1829330,289095,192,7200589,0,0,4135001,0,3125867,0,967038,1869534,289103,192,7312032,0,0,1778,0.1,1777,0.1,1773,0.1,60,0,549,1196,33,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2256555,231735,292986,1748508,179562,1590806,206547,800255,82.2,723061,93.9,663337,68.1,600003,77.9,1285455,873700,97400,0,61688,670432,1014259,2129,232673,373172,56805,687,232527,310064,56744,668,N/A,82.2,N/A,93.9,64.5,564664,73.3,800255,209024,95,178290,94.4,73537,94429,9976,348,511352,270691,1194540,772648,92,642144,76.5,232660,352006,56794,684,1698726,202276,268699,800086,87.1,663306,72.2,232662,373156,56801,687,1748314,190232,245533,293423,44.2,293352,45.7,283194,47.2,118434,66.4,126103,162222,5051,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,46189985,215060,267802,36416344,169554,33817710,196070,16851411,78.5,15497965,89.9,14240942,66.3,13141698,76.2,26756465,17084220,2349300,0,1465723,13433190,21381517,135914,4838957,8012611,1350501,38873,4836729,6918212,1348729,38028,N/A,78.5,N/A,89.9,61.7,12145625,70.4,16851411,4744734,95,4056617,90.2,1950610,1870352,214259,21396,11709796,260372,1027050,16449568,88,13932669,74.5,4838106,7706325,1349641,38597,35692873,190912,247058,16843079,82.8,14239178,70,4838214,8012446,1349685,38833,36406883,179009,227112,5548105,39,5547304,39.8,5434622,41.4,2448854,60.4,2387798,3051654,102080,6573,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,152900,149433,229153,111644,109113,90174,135145,62156,60.7,48953,73.4,51619,50.4,43681,65.5,51360,88740,12800,0,13162,76367,22090,25,30970,8354,12282,13,30963,450,12255,13,N/A,60.7,N/A,73.4,40.7,33772,50.6,62156,3775,78.4,3495,72.6,2380,20,1094,1,7121,147984,3177470,55196,69.7,47745,60.3,30968,4490,12274,13,100696,127235,193197,62138,66.9,51615,55.6,30970,8354,12278,13,111626,120259,164726,9547,18.5,9535,20,9514,21.8,911,26.1,9087,99,361,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20899995,196846,257594,14503611,136602,13262265,163458,6872255,64.7,6208372,76.5,5738915,54.1,5226598,64.4,11936355,8141640,822000,0,337318,5630601,8496538,39154,2124724,3285652,316891,11648,2123648,2776193,316391,10366,N/A,64.7,N/A,76.5,51.9,4996799,61.6,6872255,1434225,94.5,1251036,82.5,681334,531852,35220,2630,3442209,226916,1377760,6668037,74.2,5594299,62.2,2124644,3141367,316752,11536,14143397,157357,232530,6870388,69,5738623,57.6,2124678,3285513,316790,11642,14501520,145585,209821,2049457,35.7,2048859,36.6,1996236,38.2,690738,55.2,911692,1112011,24221,1533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,320060,189959,279421,341194,202502,292853,255669,152240,90.4,127754,95,137644,81.7,117436,95,210680,85780,23600,0,13261,107357,220350,226,40200,86398,10956,90,40182,66218,10946,90,N/A,90.4,N/A,95,76.3,108428,94.7,152240,17428,95,16350,95,6681,9021,622,26,45144,281078,1992780,143579,95,131412,95,40199,80168,10955,90,325899,248179,243733,152208,95,137643,90.1,40199,86398,10956,90,341161,223330,209517,57845,42,57829,44,54673,46.6,11590,70.9,20697,35828,1320,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3340480,235931,299325,2830851,199937,2536576,227291,1229485,86.8,1083960,95,1099505,77.7,970967,87,1972960,1243120,124400,0,70709,1027757,1732091,294,362515,672009,64967,14,361628,544569,64756,14,N/A,86.8,N/A,95,74.9,931557,83.5,1229485,269037,95,245273,91.4,107557,125969,11743,4,697393,259787,1244370,1171643,95,1050401,86.7,362458,622991,64938,14,2725652,225054,275820,1227911,92.3,1099047,82.6,362467,671626,64940,14,2829499,212640,251041,551593,50.2,551499,52.5,528565,54.4,190142,77.5,246070,299452,6070,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6327855,200561,260595,4957603,157131,4529425,186532,2129928,67.5,1919185,79,1937662,61.4,1749827,72.1,3618435,2420620,288800,0,177426,1966274,2813376,527,710243,1064699,162353,367,710012,877203,162256,356,N/A,67.5,N/A,79,58.1,1644767,67.7,2129928,547068,95,509375,92.1,267654,227039,14549,133,1454996,263131,1144370,2053164,76.7,1870576,69.9,710225,997638,162348,365,4812557,179823,236442,2129771,72,1937651,65.5,710238,1064695,162351,367,4957448,167513,213820,1009673,52.1,1009556,54,982549,56.2,399955,78.5,461100,534787,13746,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3254390,182108,243071,2386322,133533,2186301,163295,1082882,60.6,979837,73.2,955460,53.5,865459,64.6,1833410,1264680,156300,0,87205,899955,1395718,3444,327713,546223,80725,799,327544,456482,80653,780,N/A,60.6,N/A,73.2,50.2,805953,60.2,1082882,274761,94.5,249749,85.9,114756,122444,12230,319,688779,236963,1119620,1048903,70.1,926569,62,327703,517369,80706,791,2325102,155483,217626,1082798,64.8,955416,57.2,327705,546203,80709,799,2386209,142813,194773,394279,41.3,394276,42.6,394087,45.5,166446,66.6,173111,214975,6101,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
